State,Code,2020,2016,2012,Number of Electoral Votes
Alabama,AL,Republican,Republican,Republican,9
Alaska,AK,Republican,Republican,Republican,3
Arizona,AZ,Republican,Republican,Republican,11
Arkansas,AR,Republican,Republican,Republican,6
California,CA,Democrat,Democrat,Democrat,55
Colorado,CO,Democrat,Democrat,Democrat,9
Connecticut,CT,Democrat,Democrat,Democrat,7
Delaware,DE,Democrat,Democrat,Democrat,3
District of Columbia,DC,Democrat,Democrat,Democrat,3
Florida,FL,Republican,Republican,Democrat,29
Georgia,GA,Republican,Republican,Republican,16
Hawaii,HI,Democrat,Democrat,Democrat,4
Idaho,ID,Republican,Republican,Republican,4
Illinois,IL,Democrat,Democrat,Democrat,20
Indiana,IN,Republican,Republican,Republican,11
Iowa,IA,Democrat,Republican,Democrat,6
Kansas,KS,Republican,Republican,Republican,6
Kentucky,KY,Republican,Republican,Republican,8
Louisiana,LA,Republican,Republican,Republican,8
Maine,ME,Democrat,Democrat,Democrat,4
Maryland,MD,Democrat,Democrat,Democrat,10
Massachusetts,MA,Democrat,Democrat,Democrat,11
Michigan,MI,Republican,Republican,Democrat,16
Minnesota,MN,Democrat,Democrat,Democrat,10
Mississippi,MS,Republican,Republican,Republican,6
Missouri,MO,Republican,Republican,Republican,10
Montana,MT,Republican,Republican,Republican,3
Nebraska,NE,Republican,Republican,Republican,5
Nevada,NV,Democrat,Democrat,Democrat,6
New Hampshire,NH,Democrat,Democrat,Democrat,4
New Jersey,NJ,Democrat,Democrat,Democrat,14
New Mexico,NM,Democrat,Democrat,Democrat,5
New York,NY,Democrat,Democrat,Democrat,29
North Carolina,NC,Republican,Republican,Republican,15
North Dakota,ND,Republican,Republican,Republican,3
Ohio,OH,Republican,Republican,Democrat,18
Oklahoma,OK,Republican,Republican,Republican,7
Oregon,OR,Democrat,Democrat,Democrat,7
Pennsylvania,PA,Democrat,Republican,Democrat,20
Rhode Island,RI,Democrat,Democrat,Democrat,4
South Carolina,SC,Republican,Republican,Republican,9
South Dakota,SD,Republican,Republican,Republican,3
Tennessee,TN,Republican,Republican,Republican,11
Texas,TX,Republican,Republican,Republican,38
Utah,UT,Republican,Republican,Republican,6
Vermont,VT,Democrat,Democrat,Democrat,3
Virginia,VA,Democrat,Democrat,Democrat,13
Washington,WA,Democrat,Democrat,Democrat,12
West Virginia,WV,Republican,Republican,Republican,5
Wisconsin,WI,Democrat,Republican,Democrat,10
Wyoming,WY,Republican,Republican,Republican,3
